Region	Region	Fst

1.0	2.0	0.00406478
1.0	3.0	0.0132557
1.0	4.0	0.0246588
1.0	5.0	0.0278379
1.0	6.0	0.0264932
1.0	7.0	0.0257359
1.0	8.0	0.0279495
1.0	9.0	0.0381556
1.0	10.0	0.0457136
2.0	3.0	0.00569897
2.0	4.0	0.0187728
2.0	5.0	0.0218169
2.0	6.0	0.0225434
2.0	7.0	0.0234082
2.0	8.0	0.0276578
2.0	9.0	0.0408129
2.0	10.0	0.0508252
3.0	4.0	0.0052546
3.0	5.0	0.00814747
3.0	6.0	0.0125191
3.0	7.0	0.0175102
3.0	8.0	0.0179606
3.0	9.0	0.0326569
3.0	10.0	0.04569
4.0	5.0	0.00262547
4.0	6.0	0.00806455
4.0	7.0	0.0195941
4.0	8.0	0.0179609
4.0	9.0	0.0315156
4.0	10.0	0.0455767
5.0	6.0	0.0033755
5.0	7.0	0.0124232
5.0	8.0	0.0133439
5.0	9.0	0.0325407
5.0	10.0	0.0498759
6.0	7.0	0.00387934
6.0	8.0	0.00867699
6.0	9.0	0.0251208
6.0	10.0	0.0414639
7.0	8.0	0.00394861
7.0	9.0	0.017998
7.0	10.0	0.0327314
8.0	9.0	0.00631214
8.0	10.0	0.0195815
9.0	10.0	0.00434896
