Region	Region	Fst

1.0	2.0	0.006694
1.0	3.0	0.0187013
1.0	4.0	0.0277237
1.0	5.0	0.0345278
1.0	6.0	0.043891
1.0	7.0	0.0578471
1.0	8.0	0.0706246
1.0	9.0	0.0727195
1.0	10.0	0.0783744
2.0	3.0	0.00835068
2.0	4.0	0.0152282
2.0	5.0	0.0222075
2.0	6.0	0.0290003
2.0	7.0	0.0403137
2.0	8.0	0.0503181
2.0	9.0	0.0556817
2.0	10.0	0.0630197
3.0	4.0	0.00457543
3.0	5.0	0.0103713
3.0	6.0	0.0162273
3.0	7.0	0.0235172
3.0	8.0	0.0313129
3.0	9.0	0.0349415
3.0	10.0	0.039488
4.0	5.0	0.0030849
4.0	6.0	0.0103351
4.0	7.0	0.0189009
4.0	8.0	0.0269092
4.0	9.0	0.0306576
4.0	10.0	0.0373069
5.0	6.0	0.00387409
5.0	7.0	0.0137134
5.0	8.0	0.0243561
5.0	9.0	0.0293829
5.0	10.0	0.0331155
6.0	7.0	0.00508106
6.0	8.0	0.0134825
6.0	9.0	0.020323
6.0	10.0	0.0266508
7.0	8.0	0.00297325
7.0	9.0	0.0111958
7.0	10.0	0.0143911
8.0	9.0	0.00368338
8.0	10.0	0.00866401
9.0	10.0	0.00430282
