Region	Region	Fst

1.0	2.0	0.00490837
1.0	3.0	0.0144035
1.0	4.0	0.0271702
1.0	5.0	0.035832
1.0	6.0	0.0392504
1.0	7.0	0.0448299
1.0	8.0	0.0489309
1.0	9.0	0.054751
1.0	10.0	0.0706868
2.0	3.0	0.00465553
2.0	4.0	0.013608
2.0	5.0	0.020419
2.0	6.0	0.0252112
2.0	7.0	0.0300136
2.0	8.0	0.034269
2.0	9.0	0.0416861
2.0	10.0	0.0553081
3.0	4.0	0.00496939
3.0	5.0	0.0120646
3.0	6.0	0.0185097
3.0	7.0	0.0223101
3.0	8.0	0.0270922
3.0	9.0	0.0349809
3.0	10.0	0.04523
4.0	5.0	0.00305809
4.0	6.0	0.0138997
4.0	7.0	0.0153117
4.0	8.0	0.0189287
4.0	9.0	0.0284652
4.0	10.0	0.0372124
5.0	6.0	0.0063717
5.0	7.0	0.0102463
5.0	8.0	0.0150428
5.0	9.0	0.02443
5.0	10.0	0.0313352
6.0	7.0	0.00377876
6.0	8.0	0.0108362
6.0	9.0	0.0188571
6.0	10.0	0.0246181
7.0	8.0	0.00325651
7.0	9.0	0.00885082
7.0	10.0	0.0140965
8.0	9.0	0.00268742
8.0	10.0	0.011398
9.0	10.0	0.00503772
