ID	Freq	Effect

1002.0	0.0779649	-0.0550183
6216.0	0.0629575	0.0407692
627.0	0.0600293	-0.0925555
1952.0	0.0578331	0.0542219
6745.0	0.0560029	0.048828
5178.0	0.0446559	0.00574534
6953.0	0.0377013	-0.0308264
7460.0	0.0369693	0.030938
6439.0	0.0322108	-0.00154893
1782.0	0.0281845	-0.0803011
6187.0	0.0267204	0.108354
7536.0	0.0252562	0.166223
4247.0	0.022328	-0.0451335
8632.0	0.0219619	-0.204189
8304.0	0.0197657	-0.0534605
7306.0	0.0186676	0.279039
8585.0	0.0183016	0.00381507
8553.0	0.0183016	0.224843
9096.0	0.0164714	-0.229599
2603.0	0.0139092	0.133047
9200.0	0.0128111	0.15666
6134.0	0.0124451	-0.0131675
7319.0	0.0124451	0.389608
9197.0	0.011347	0.108646
9355.0	0.011347	-0.348821
7522.0	0.010981	0.0846231
8896.0	0.00988287	-0.384712
6394.0	0.00915081	0.0238983
8092.0	0.00878477	0.0106975
9558.0	0.00805271	-0.192974
9047.0	0.00768668	-0.116701
6749.0	0.00732064	-0.0413039
9179.0	0.00732064	0.233342
8694.0	0.00695461	-0.0345926
8950.0	0.00622255	0.179006
6851.0	0.00622255	0.209182
9136.0	0.00585652	0.0879219
9521.0	0.00585652	0.0576232
9156.0	0.00549048	-0.217865
8806.0	0.00549048	0.0285529
8136.0	0.00512445	-0.114712
9739.0	0.00512445	0.0710183
9016.0	0.00475842	0.00191524
9073.0	0.00439239	0.0115114
9109.0	0.00402635	-0.0584932
8946.0	0.00402635	-0.0400834
9500.0	0.00402635	0.528791
9477.0	0.00402635	-0.0777703
9752.0	0.00366032	0.0765216
9607.0	0.00366032	0.261084
8923.0	0.00329429	-0.0076816
9677.0	0.00292826	0.17048
9711.0	0.00292826	-0.298108
9728.0	0.00256223	0.0625836
7959.0	0.00256223	0.148858
8648.0	0.00256223	-0.021139
9694.0	0.00256223	-0.00768859
9576.0	0.00219619	0.205033
9662.0	0.00219619	-0.00710457
9626.0	0.00219619	0.217142
9499.0	0.00219619	0.191546
9549.0	0.00183016	0.0588235
9772.0	0.00183016	0.35256
9504.0	0.00183016	0.331666
9734.0	0.00183016	-0.291602
9690.0	0.00183016	0.028389
9757.0	0.00183016	-0.34965
9679.0	0.00146413	-0.0820677
9766.0	0.00146413	-0.0500809
9503.0	0.00146413	0.345683
9729.0	0.00146413	-0.287292
9306.0	0.00146413	-0.128564
9496.0	0.00146413	0.00207759
9786.0	0.0010981	0.13104
9756.0	0.0010981	-0.00843061
9767.0	0.0010981	-0.0572559
9035.0	0.0010981	-0.0625071
9648.0	0.0010981	0.06018
9738.0	0.000732064	0.0201155
9736.0	0.000732064	0.267143
9769.0	0.000732064	0.155122
9770.0	0.000732064	0.0471624
9783.0	0.000732064	-0.277438
9781.0	0.000732064	-0.450662
9763.0	0.000732064	-0.000355962
9758.0	0.000732064	-0.0971946
9776.0	0.000732064	-0.335751
9723.0	0.000732064	0.0553036
9732.0	0.000732064	0.0129183
9703.0	0.000732064	0.126677
9706.0	0.000732064	-0.0722074
9792.0	0.000366032	0.223302
9780.0	0.000366032	0.0963438
9779.0	0.000366032	-0.131783
9785.0	0.000366032	0.132353
9788.0	0.000366032	-0.202619
9771.0	0.000366032	0.052352
9791.0	0.000366032	-0.228918
9784.0	0.000366032	0.0320265
9768.0	0.000366032	0.25329
9753.0	0.000366032	-0.0600016
9765.0	0.000366032	-0.229192
9731.0	0.000366032	-0.0350008
9789.0	0.000366032	0.0122869
9715.0	0.000366032	0.201301
9697.0	0.000366032	0.000225532
9658.0	0.000366032	-0.0836368
