Region	Region	Fst

1.0	2.0	0.0402197
1.0	3.0	0.0756324
1.0	4.0	0.121887
1.0	5.0	0.170119
1.0	6.0	0.190844
1.0	7.0	0.249002
1.0	8.0	0.321449
1.0	9.0	0.331216
1.0	10.0	0.39212
2.0	3.0	0.0530724
2.0	4.0	0.115079
2.0	5.0	0.164762
2.0	6.0	0.179346
2.0	7.0	0.232779
2.0	8.0	0.30549
2.0	9.0	0.318189
2.0	10.0	0.383723
3.0	4.0	0.0452603
3.0	5.0	0.101698
3.0	6.0	0.101903
3.0	7.0	0.16647
3.0	8.0	0.24864
3.0	9.0	0.247248
3.0	10.0	0.310909
4.0	5.0	0.0482817
4.0	6.0	0.111807
4.0	7.0	0.205315
4.0	8.0	0.284849
4.0	9.0	0.294419
4.0	10.0	0.356196
5.0	6.0	0.0520078
5.0	7.0	0.150843
5.0	8.0	0.22834
5.0	9.0	0.266644
5.0	10.0	0.333142
6.0	7.0	0.0544942
6.0	8.0	0.135557
6.0	9.0	0.181457
6.0	10.0	0.262714
7.0	8.0	0.036097
7.0	9.0	0.108355
7.0	10.0	0.199294
8.0	9.0	0.0773356
8.0	10.0	0.163446
9.0	10.0	0.0369084
