IND_ID	Opt	Phen	AbsErr	Fitness

1.0	0.0465754	-0.304688	0.351264	0.698155
2.0	0.231592	0.37516	0.143568	0.843973
3.0	0.155244	-0.36253	0.517774	0.601734
4.0	0.407227	0.31085	0.0963774	0.862481
5.0	0.15622	-0.0428029	0.199023	0.75125
6.0	0.363929	0.302836	0.061093	0.844956
7.0	0.645013	0.468995	0.176018	0.846807
8.0	0.555708	0.815709	0.260001	0.803465
9.0	0.274079	0.232149	0.0419302	0.860236
10.0	0.28836	0.275223	0.0131371	0.817721
11.0	0.696077	0.854328	0.158251	0.699866
12.0	0.630184	0.433158	0.197027	0.849984
13.0	0.216356	0.421109	0.204753	0.763359
14.0	0.139088	-0.0271695	0.166257	0.793474
15.0	0.488481	0.291702	0.196779	0.778595
16.0	0.0626551	0.315734	0.253079	0.816705
17.0	0.0155894	-0.255559	0.271149	0.866828
18.0	0.307507	0.703167	0.39566	0.596342
19.0	0.0540209	0.305568	0.251547	0.747172
20.0	0.433232	0.12486	0.308372	0.786332
21.0	0.532138	0.80803	0.275892	0.789427
22.0	0.0838514	0.103124	0.019273	0.822418
23.0	0.372924	0.0356499	0.337274	0.780747
24.0	0.594757	0.608743	0.0139864	0.872651
25.0	0.656352	0.424548	0.231804	0.761018
26.0	0.147626	-0.104689	0.252314	0.827708
27.0	0.691108	0.670347	0.0207603	1.00862
28.0	0.163268	-0.0888205	0.252088	0.687662
29.0	0.330901	0.280654	0.0502468	0.870951
30.0	0.209856	0.0496992	0.160156	0.863342
31.0	0.306724	0.343378	0.0366542	0.983272
32.0	0.509754	0.458602	0.0511519	0.857854
33.0	0.387911	0.491558	0.103648	0.751181
34.0	0.26622	0.185246	0.0809735	0.886352
35.0	0.319845	-0.0169398	0.336785	0.687089
36.0	0.174588	0.41569	0.241102	0.831291
37.0	0.365123	0.304035	0.0610879	0.832332
38.0	0.17229	0.413138	0.240848	0.814124
39.0	0.10178	0.23186	0.13008	0.88675
40.0	0.449909	0.262106	0.187804	0.907505
41.0	0.554043	0.541098	0.0129448	0.8462
42.0	0.506491	0.224156	0.282335	0.760299
43.0	0.230541	0.30178	0.0712395	0.863524
44.0	0.685266	0.933683	0.248417	0.730485
45.0	0.175539	0.0902562	0.085283	0.859064
46.0	0.159492	0.187574	0.0280819	0.828869
47.0	0.10453	0.0936402	0.0108903	0.861791
48.0	0.656146	0.489443	0.166703	0.837842
49.0	0.575258	0.869494	0.294236	0.692517
50.0	0.0255658	0.325	0.299435	0.830168
51.0	0.240341	0.419329	0.178988	0.797007
52.0	0.0476027	0.482862	0.435259	0.505925
53.0	0.27206	-0.0741598	0.34622	0.719589
54.0	0.224165	0.37359	0.149425	0.826517
55.0	0.3012	0.0945012	0.206699	0.856468
56.0	0.357519	0.0570327	0.300487	0.776263
57.0	0.264481	-0.0702747	0.334755	0.661719
58.0	0.238244	0.34157	0.103326	0.883417
59.0	0.221887	0.185235	0.0366517	0.876483
60.0	0.54028	0.60206	0.06178	0.975546
61.0	0.510388	0.325122	0.185266	0.807089
62.0	0.62278	0.530067	0.0927137	0.796373
63.0	0.141838	0.648913	0.507076	0.557436
64.0	0.526167	0.60614	0.0799739	0.902031
65.0	0.359036	0.404379	0.0453428	0.96993
66.0	0.405547	0.147185	0.258361	0.841504
67.0	0.545225	0.486592	0.0586335	0.968544
68.0	0.344768	0.412784	0.0680156	0.972178
69.0	0.0866431	-0.233589	0.320232	0.779202
70.0	0.221521	0.223478	0.00195646	0.955694
71.0	0.273117	0.0576725	0.215445	0.82622
72.0	0.37439	0.200103	0.174287	0.848918
73.0	0.286589	0.481312	0.194723	0.861562
74.0	0.257732	0.18554	0.0721919	0.898068
75.0	0.351403	0.781178	0.429775	0.71215
76.0	0.435654	0.486845	0.0511914	0.866847
77.0	0.204641	0.730726	0.526084	0.568694
78.0	0.0806523	-0.151414	0.232066	0.794498
79.0	0.0555388	-0.152287	0.207826	0.863313
80.0	0.482989	0.514207	0.0312176	0.902884
81.0	0.693681	0.359974	0.333707	0.760519
82.0	0.171438	0.11094	0.0604984	0.81237
83.0	0.496778	0.716779	0.220001	0.772712
84.0	0.562423	0.792414	0.229991	0.704377
85.0	0.630716	0.610361	0.020355	0.855405
86.0	0.44179	0.731356	0.289566	0.758701
87.0	0.275809	0.30085	0.0250412	0.929155
88.0	0.071653	-0.156626	0.228279	0.826336
89.0	0.451633	0.444658	0.00697478	0.764488
90.0	0.14272	0.316194	0.173474	0.808212
91.0	0.30558	0.588787	0.283207	0.805554
92.0	0.360002	0.270489	0.0895126	0.811051
93.0	0.129539	0.00997176	0.119568	0.85488
94.0	0.152245	0.228189	0.0759436	0.793079
95.0	0.0852655	-0.145336	0.230602	0.845107
96.0	0.172814	-0.056239	0.229053	0.713307
97.0	0.205048	0.115402	0.0896469	0.871699
98.0	0.566292	0.57577	0.00947753	0.838422
99.0	0.464421	0.269723	0.194698	0.855854
100.0	0.461078	0.394505	0.0665737	0.814912
101.0	0.473098	0.0797741	0.393324	0.646033
102.0	0.00487751	0.304593	0.299716	0.756636
103.0	0.204608	0.418682	0.214074	0.872781
104.0	0.303045	0.452305	0.14926	0.793967
105.0	0.186681	-0.0546962	0.241377	0.773898
106.0	0.146197	0.141467	0.00472969	0.89599
107.0	0.469165	0.211567	0.257598	0.767091
108.0	0.64016	0.790133	0.149973	0.795749
109.0	0.574169	0.606557	0.032388	0.882716
110.0	0.339964	0.20288	0.137085	0.852219
111.0	0.112157	-0.0602911	0.172448	0.869187
112.0	0.382701	0.382568	0.000133014	0.828778
113.0	0.32795	0.477869	0.14992	0.860624
114.0	0.351856	0.588406	0.236549	0.723968
115.0	0.201071	0.422084	0.221013	0.807016
116.0	0.545148	0.710623	0.165475	0.73614
117.0	0.0432952	0.216734	0.173439	0.77446
118.0	0.480817	0.221475	0.259341	0.725922
119.0	0.56591	0.412925	0.152985	0.910218
120.0	0.563123	0.818181	0.255058	0.852022
121.0	0.187022	0.169031	0.0179911	0.832051
122.0	0.65576	0.546628	0.109131	0.889996
123.0	0.692343	0.733207	0.040864	0.839294
124.0	0.0887044	0.32666	0.237956	0.840059
125.0	0.194598	-0.0736527	0.26825	0.757972
126.0	0.514782	0.626837	0.112055	0.875004
127.0	0.586413	0.452895	0.133517	0.959604
128.0	0.487105	0.606776	0.119671	0.821461
129.0	0.537165	0.626021	0.0888553	0.973374
130.0	0.231416	0.68823	0.456813	0.598452
131.0	0.470647	0.666584	0.195937	0.864596
132.0	0.270689	-0.00204244	0.272732	0.792212
133.0	0.502899	0.634525	0.131626	0.812715
134.0	0.609383	0.666287	0.0569044	0.86385
135.0	0.664976	0.7816	0.116624	0.908273
136.0	0.331562	0.124017	0.207545	0.812226
137.0	0.206832	0.442405	0.235574	0.760411
138.0	0.280111	0.0988107	0.1813	0.843824
139.0	0.361051	0.353788	0.00726329	0.840805
140.0	0.0757116	0.284012	0.2083	0.786425
141.0	0.693863	0.453872	0.239991	0.828125
142.0	0.414168	0.395058	0.0191098	0.779407
143.0	0.287892	0.179286	0.108606	0.869179
144.0	0.637612	0.515151	0.122461	0.758924
145.0	0.395828	0.322667	0.0731609	0.811184
146.0	0.321816	0.135772	0.186044	0.812045
147.0	0.0475792	-0.327753	0.375332	0.75514
148.0	0.297888	0.129348	0.16854	0.891311
149.0	0.219161	-0.169317	0.388478	0.634212
150.0	0.320272	0.270851	0.0494218	0.852906
151.0	0.694565	0.765616	0.0710515	0.895108
152.0	0.358109	0.535006	0.176897	0.789633
153.0	0.532284	0.195388	0.336896	0.718042
154.0	0.397805	0.302382	0.0954232	0.815351
155.0	0.669107	0.264844	0.404263	0.654943
156.0	0.483738	0.653939	0.170201	0.774376
157.0	0.252758	0.0206835	0.232074	0.767029
158.0	0.595795	0.252797	0.342997	0.773989
159.0	0.0264864	-0.190325	0.216812	0.729759
160.0	0.385014	0.407301	0.0222873	0.772135
161.0	0.160098	0.362895	0.202797	0.800522
162.0	0.505296	0.593834	0.0885379	0.865113
163.0	0.681782	0.444948	0.236834	0.868985
164.0	0.614867	0.886469	0.271601	0.783696
165.0	0.611735	0.619854	0.00811909	0.875016
166.0	0.666285	1.06144	0.39515	0.707426
167.0	0.450105	0.111008	0.339097	0.705301
