Region	Region	Fst

1.0	2.0	0.053226
1.0	3.0	0.0765629
1.0	4.0	0.252506
1.0	5.0	0.19955
1.0	6.0	0.225495
1.0	7.0	0.298707
1.0	8.0	0.438214
1.0	9.0	0.469769
1.0	10.0	0.513386
2.0	3.0	0.0547194
2.0	4.0	0.214727
2.0	5.0	0.181803
2.0	6.0	0.193199
2.0	7.0	0.274479
2.0	8.0	0.404823
2.0	9.0	0.443226
2.0	10.0	0.486713
3.0	4.0	0.171239
3.0	5.0	0.150183
3.0	6.0	0.151427
3.0	7.0	0.245814
3.0	8.0	0.385487
3.0	9.0	0.429266
3.0	10.0	0.477442
4.0	5.0	0.0376337
4.0	6.0	0.0450739
4.0	7.0	0.0913326
4.0	8.0	0.189697
4.0	9.0	0.245827
4.0	10.0	0.303063
5.0	6.0	0.0132981
5.0	7.0	0.0591821
5.0	8.0	0.184133
5.0	9.0	0.232656
5.0	10.0	0.284903
6.0	7.0	0.0644043
6.0	8.0	0.194012
6.0	9.0	0.26579
6.0	10.0	0.322902
7.0	8.0	0.0588313
7.0	9.0	0.161785
7.0	10.0	0.227063
8.0	9.0	0.145209
8.0	10.0	0.217403
9.0	10.0	0.0177552
