Region	Region	Fst

1.0	2.0	0.00333012
1.0	3.0	0.0122442
1.0	4.0	0.0175352
1.0	5.0	0.0296646
1.0	6.0	0.0251134
1.0	7.0	0.0227905
1.0	8.0	0.0287608
1.0	9.0	0.0410142
1.0	10.0	0.0449277
2.0	3.0	0.00591195
2.0	4.0	0.0122759
2.0	5.0	0.027349
2.0	6.0	0.0216557
2.0	7.0	0.022075
2.0	8.0	0.0287115
2.0	9.0	0.0419231
2.0	10.0	0.0467588
3.0	4.0	0.00438199
3.0	5.0	0.0180979
3.0	6.0	0.0186228
3.0	7.0	0.0164055
3.0	8.0	0.0261549
3.0	9.0	0.0440105
3.0	10.0	0.0494603
4.0	5.0	0.00590846
4.0	6.0	0.0109584
4.0	7.0	0.011595
4.0	8.0	0.0208018
4.0	9.0	0.0375889
4.0	10.0	0.0405156
5.0	6.0	0.00535439
5.0	7.0	0.0100138
5.0	8.0	0.0201467
5.0	9.0	0.0370877
5.0	10.0	0.0378999
6.0	7.0	0.00493085
6.0	8.0	0.016779
6.0	9.0	0.0296508
6.0	10.0	0.0321303
7.0	8.0	0.00628966
7.0	9.0	0.020233
7.0	10.0	0.02528
8.0	9.0	0.00596474
8.0	10.0	0.0133942
9.0	10.0	0.00362042
