Region	Region	Fst

1.0	2.0	0.0494535
1.0	3.0	0.101508
1.0	4.0	0.118393
1.0	5.0	0.227779
1.0	6.0	0.26119
1.0	7.0	0.255854
1.0	8.0	0.224921
1.0	9.0	0.22732
1.0	10.0	0.244475
2.0	3.0	0.052309
2.0	4.0	0.0790947
2.0	5.0	0.202241
2.0	6.0	0.214136
2.0	7.0	0.220926
2.0	8.0	0.195318
2.0	9.0	0.207078
2.0	10.0	0.219338
3.0	4.0	0.0193222
3.0	5.0	0.125073
3.0	6.0	0.144789
3.0	7.0	0.156564
3.0	8.0	0.149089
3.0	9.0	0.1506
3.0	10.0	0.201189
4.0	5.0	0.0586645
4.0	6.0	0.0924583
4.0	7.0	0.104875
4.0	8.0	0.111271
4.0	9.0	0.120454
4.0	10.0	0.148776
5.0	6.0	0.0845807
5.0	7.0	0.12539
5.0	8.0	0.155881
5.0	9.0	0.169952
5.0	10.0	0.217526
6.0	7.0	0.0379985
6.0	8.0	0.0759647
6.0	9.0	0.13051
6.0	10.0	0.15018
7.0	8.0	0.025211
7.0	9.0	0.0812569
7.0	10.0	0.103352
8.0	9.0	0.0458623
8.0	10.0	0.061756
9.0	10.0	0.0560487
