Region	Region	Fst

1.0	2.0	0.00700189
1.0	3.0	0.0160019
1.0	4.0	0.0181723
1.0	5.0	0.024385
1.0	6.0	0.0423272
1.0	7.0	0.0482026
1.0	8.0	0.046676
1.0	9.0	0.0535412
1.0	10.0	0.0549815
2.0	3.0	0.00571263
2.0	4.0	0.010887
2.0	5.0	0.0184979
2.0	6.0	0.0408827
2.0	7.0	0.0468627
2.0	8.0	0.0442665
2.0	9.0	0.0471123
2.0	10.0	0.0499035
3.0	4.0	0.00560046
3.0	5.0	0.00843973
3.0	6.0	0.02462
3.0	7.0	0.0346287
3.0	8.0	0.0354599
3.0	9.0	0.0400207
3.0	10.0	0.0441344
4.0	5.0	0.00302719
4.0	6.0	0.0223376
4.0	7.0	0.0300273
4.0	8.0	0.0307475
4.0	9.0	0.0373454
4.0	10.0	0.0453434
5.0	6.0	0.0127286
5.0	7.0	0.0213087
5.0	8.0	0.0251285
5.0	9.0	0.0342808
5.0	10.0	0.0432976
6.0	7.0	0.00554292
6.0	8.0	0.0132136
6.0	9.0	0.028892
6.0	10.0	0.0365364
7.0	8.0	0.00657621
7.0	9.0	0.0238954
7.0	10.0	0.0319733
8.0	9.0	0.00576076
8.0	10.0	0.0122961
9.0	10.0	0.0042685
