Region	Region	Fst

1.0	2.0	0.0239333
1.0	3.0	0.104687
1.0	4.0	0.102171
1.0	5.0	0.147293
1.0	6.0	0.238504
1.0	7.0	0.326844
1.0	8.0	0.324505
1.0	9.0	0.358976
1.0	10.0	0.385106
2.0	3.0	0.0835388
2.0	4.0	0.0936501
2.0	5.0	0.134797
2.0	6.0	0.228116
2.0	7.0	0.32035
2.0	8.0	0.321548
2.0	9.0	0.358125
2.0	10.0	0.38399
3.0	4.0	0.027146
3.0	5.0	0.0824568
3.0	6.0	0.152286
3.0	7.0	0.241579
3.0	8.0	0.248632
3.0	9.0	0.289747
3.0	10.0	0.314101
4.0	5.0	0.038376
4.0	6.0	0.111096
4.0	7.0	0.195884
4.0	8.0	0.207131
4.0	9.0	0.259114
4.0	10.0	0.286636
5.0	6.0	0.042476
5.0	7.0	0.121481
5.0	8.0	0.143259
5.0	9.0	0.209986
5.0	10.0	0.242776
6.0	7.0	0.0562496
6.0	8.0	0.0925208
6.0	9.0	0.125351
6.0	10.0	0.167572
7.0	8.0	0.0473565
7.0	9.0	0.102589
7.0	10.0	0.129412
8.0	9.0	0.0592988
8.0	10.0	0.097546
9.0	10.0	0.0310302
