Region	Region	Fst

1.0	2.0	0.00352626
1.0	3.0	0.0637641
1.0	4.0	0.122706
1.0	5.0	0.139975
1.0	6.0	0.202307
1.0	7.0	0.32444
1.0	8.0	0.318696
1.0	9.0	0.388251
1.0	10.0	0.424083
2.0	3.0	0.0387542
2.0	4.0	0.104697
2.0	5.0	0.135431
2.0	6.0	0.183876
2.0	7.0	0.292475
2.0	8.0	0.284128
2.0	9.0	0.355583
2.0	10.0	0.392221
3.0	4.0	0.0551739
3.0	5.0	0.116169
3.0	6.0	0.159573
3.0	7.0	0.244823
3.0	8.0	0.246389
3.0	9.0	0.320174
3.0	10.0	0.357473
4.0	5.0	0.0717423
4.0	6.0	0.138702
4.0	7.0	0.219781
4.0	8.0	0.232847
4.0	9.0	0.324305
4.0	10.0	0.35215
5.0	6.0	0.0711378
5.0	7.0	0.213122
5.0	8.0	0.223371
5.0	9.0	0.310926
5.0	10.0	0.346075
6.0	7.0	0.101162
6.0	8.0	0.115373
6.0	9.0	0.221405
6.0	10.0	0.252974
7.0	8.0	0.0461629
7.0	9.0	0.196431
7.0	10.0	0.215436
8.0	9.0	0.0899695
8.0	10.0	0.121852
9.0	10.0	0.0117261
