Region	Region	Fst

1.0	2.0	0.0322696
1.0	3.0	0.118096
1.0	4.0	0.184828
1.0	5.0	0.354952
1.0	6.0	0.450843
1.0	7.0	0.401877
1.0	8.0	0.389102
1.0	9.0	0.391426
1.0	10.0	0.430948
2.0	3.0	0.0560264
2.0	4.0	0.130986
2.0	5.0	0.307505
2.0	6.0	0.403886
2.0	7.0	0.361328
2.0	8.0	0.350844
2.0	9.0	0.353156
2.0	10.0	0.395668
3.0	4.0	0.0480046
3.0	5.0	0.189224
3.0	6.0	0.298807
3.0	7.0	0.255634
3.0	8.0	0.249875
3.0	9.0	0.253226
3.0	10.0	0.297659
4.0	5.0	0.114707
4.0	6.0	0.240244
4.0	7.0	0.209258
4.0	8.0	0.209862
4.0	9.0	0.208257
4.0	10.0	0.253533
5.0	6.0	0.0521729
5.0	7.0	0.0603098
5.0	8.0	0.106029
5.0	9.0	0.11749
5.0	10.0	0.160366
6.0	7.0	0.0583013
6.0	8.0	0.137206
6.0	9.0	0.155025
6.0	10.0	0.196195
7.0	8.0	0.0432399
7.0	9.0	0.0668513
7.0	10.0	0.0969335
8.0	9.0	0.0170673
8.0	10.0	0.0605032
9.0	10.0	0.0174398
