Region	Region	Fst

1.0	2.0	0.00328623
1.0	3.0	0.0133601
1.0	4.0	0.0204924
1.0	5.0	0.0314833
1.0	6.0	0.0408844
1.0	7.0	0.0542903
1.0	8.0	0.0636209
1.0	9.0	0.0669356
1.0	10.0	0.0733665
2.0	3.0	0.00544234
2.0	4.0	0.0157718
2.0	5.0	0.0244531
2.0	6.0	0.034192
2.0	7.0	0.0473342
2.0	8.0	0.0555237
2.0	9.0	0.0589864
2.0	10.0	0.0605303
3.0	4.0	0.00454504
3.0	5.0	0.0119072
3.0	6.0	0.0214722
3.0	7.0	0.0319541
3.0	8.0	0.0401268
3.0	9.0	0.0419646
3.0	10.0	0.0436675
4.0	5.0	0.00438339
4.0	6.0	0.0141825
4.0	7.0	0.0245567
4.0	8.0	0.0345545
4.0	9.0	0.0365755
4.0	10.0	0.0440299
5.0	6.0	0.00267919
5.0	7.0	0.0123941
5.0	8.0	0.0211302
5.0	9.0	0.0253566
5.0	10.0	0.0352502
6.0	7.0	0.00769163
6.0	8.0	0.016899
6.0	9.0	0.0242024
6.0	10.0	0.0374275
7.0	8.0	0.00284097
7.0	9.0	0.0109814
7.0	10.0	0.0276472
8.0	9.0	0.00485355
8.0	10.0	0.0196538
9.0	10.0	0.00700927
