Region	Region	Fst

1.0	2.0	0.00451702
1.0	3.0	0.0120717
1.0	4.0	0.0210825
1.0	5.0	0.0338645
1.0	6.0	0.0520705
1.0	7.0	0.0614167
1.0	8.0	0.066896
1.0	9.0	0.0745006
1.0	10.0	0.0960943
2.0	3.0	0.00397338
2.0	4.0	0.0105282
2.0	5.0	0.0193596
2.0	6.0	0.0383313
2.0	7.0	0.0469153
2.0	8.0	0.0532626
2.0	9.0	0.0598562
2.0	10.0	0.0807815
3.0	4.0	0.00517054
3.0	5.0	0.0156458
3.0	6.0	0.0319096
3.0	7.0	0.040142
3.0	8.0	0.0467287
3.0	9.0	0.0517234
3.0	10.0	0.0724149
4.0	5.0	0.00534335
4.0	6.0	0.0208786
4.0	7.0	0.0285981
4.0	8.0	0.037317
4.0	9.0	0.0416423
4.0	10.0	0.0609717
5.0	6.0	0.010287
5.0	7.0	0.0169527
5.0	8.0	0.0260786
5.0	9.0	0.029865
5.0	10.0	0.0479488
6.0	7.0	0.002276
6.0	8.0	0.00946425
6.0	9.0	0.017268
6.0	10.0	0.0369379
7.0	8.0	0.00342803
7.0	9.0	0.0107647
7.0	10.0	0.0264182
8.0	9.0	0.00357367
8.0	10.0	0.0171596
9.0	10.0	0.00611931
