Region	Region	Fst

1.0	2.0	0.00275498
1.0	3.0	0.00708428
1.0	4.0	0.0096902
1.0	5.0	0.0119919
1.0	6.0	0.0154213
1.0	7.0	0.0210402
1.0	8.0	0.0183693
1.0	9.0	0.0250656
1.0	10.0	0.0276494
2.0	3.0	0.00137985
2.0	4.0	0.00645496
2.0	5.0	0.00787729
2.0	6.0	0.00957954
2.0	7.0	0.0158942
2.0	8.0	0.0148514
2.0	9.0	0.0233469
2.0	10.0	0.0247125
3.0	4.0	0.00231086
3.0	5.0	0.00456053
3.0	6.0	0.00688577
3.0	7.0	0.0110156
3.0	8.0	0.0126052
3.0	9.0	0.0216864
3.0	10.0	0.0229656
4.0	5.0	-0.000147466
4.0	6.0	0.00382687
4.0	7.0	0.00787483
4.0	8.0	0.00881302
4.0	9.0	0.0162456
4.0	10.0	0.0192948
5.0	6.0	0.00122438
5.0	7.0	0.00405791
5.0	8.0	0.00626044
5.0	9.0	0.0136849
5.0	10.0	0.0157726
6.0	7.0	0.0035848
6.0	8.0	0.00534703
6.0	9.0	0.0128389
6.0	10.0	0.0153809
7.0	8.0	0.00214556
7.0	9.0	0.00858623
7.0	10.0	0.00813789
8.0	9.0	0.00292332
8.0	10.0	0.00599977
9.0	10.0	0.00180989
