Region	Region	Fst

1.0	2.0	0.006431
1.0	3.0	0.0155955
1.0	4.0	0.0210218
1.0	5.0	0.0259934
1.0	6.0	0.0307627
1.0	7.0	0.0368919
1.0	8.0	0.0428953
1.0	9.0	0.0452083
1.0	10.0	0.0440436
2.0	3.0	0.00504034
2.0	4.0	0.013004
2.0	5.0	0.0173485
2.0	6.0	0.0212693
2.0	7.0	0.0300684
2.0	8.0	0.040516
2.0	9.0	0.0468511
2.0	10.0	0.051672
3.0	4.0	0.00340626
3.0	5.0	0.00971514
3.0	6.0	0.0136434
3.0	7.0	0.0226167
3.0	8.0	0.0335369
3.0	9.0	0.0405797
3.0	10.0	0.0465338
4.0	5.0	0.00177047
4.0	6.0	0.0078646
4.0	7.0	0.0153339
4.0	8.0	0.0260323
4.0	9.0	0.0324655
4.0	10.0	0.0383007
5.0	6.0	0.0033676
5.0	7.0	0.00907521
5.0	8.0	0.0198333
5.0	9.0	0.0274127
5.0	10.0	0.0325828
6.0	7.0	0.00293009
6.0	8.0	0.0110875
6.0	9.0	0.0184255
6.0	10.0	0.0279417
7.0	8.0	0.00352299
7.0	9.0	0.0105341
7.0	10.0	0.0217399
8.0	9.0	0.00376983
8.0	10.0	0.0139905
9.0	10.0	0.00663071
