IND_ID	Opt	Phen	AbsErr	Fitness	density
669.0	0.00141916	0.302207	0.300788	0.79232	11.0085
670.0	0.457118	0.585346	0.128228	0.856927	8.0113
671.0	0.965169	1.17353	0.208357	0.857914	7.94057
672.0	0.101428	0.21694	0.115513	0.915704	5.63559
673.0	0.169682	-0.294947	0.464628	0.820607	9.45971
674.0	0.482823	-0.138256	0.621079	0.816796	9.45952
675.0	0.337155	0.0267723	0.310383	0.787828	11.2371
676.0	0.388078	0.0594887	0.328589	0.969948	3.64055
677.0	0.621813	0.192884	0.428929	0.802326	10.392
678.0	0.578878	-0.0560264	0.634904	0.925749	4.89654
679.0	0.00335278	0.336634	0.333281	0.751868	13.2184
680.0	0.687515	0.45364	0.233875	0.77104	12.192
681.0	0.493371	0.643979	0.150607	0.842727	8.63588
682.0	0.0452778	0.561348	0.51607	0.86302	7.49298
683.0	0.449539	1.29353	0.843989	0.898343	5.62548
684.0	0.951288	1.13008	0.178796	0.794863	10.9424
685.0	0.695008	0.907292	0.212284	0.798143	10.7589
686.0	0.295375	0.987089	0.691714	0.722993	14.5333
687.0	0.409339	0.545747	0.136408	0.757237	13.0159
688.0	0.566788	0.237826	0.328962	0.761044	12.6913
689.0	0.557191	0.784844	0.227653	0.833324	9.03617
690.0	0.354499	1.00899	0.654488	0.869362	7.06239
691.0	0.106626	0.573719	0.467093	0.905694	5.81831
692.0	0.838996	0.690665	0.148331	0.833359	9.06629
693.0	0.562049	0.580704	0.0186547	0.788667	11.3016
694.0	0.534497	1.10234	0.567845	0.820751	9.33828
695.0	0.119618	-0.0287167	0.148334	0.846595	8.46234
696.0	0.478035	-0.0346661	0.512701	0.811037	9.87228
697.0	0.579896	0.105442	0.474454	0.796073	10.664
698.0	0.1921	0.830615	0.638515	0.940503	4.36752
699.0	0.605422	0.760003	0.15458	0.800905	10.6416
700.0	0.838273	0.841897	0.00362401	0.898601	6.30473
701.0	0.827977	0.184254	0.643723	0.874927	6.84602
