Region	Region	Fst

1.0	2.0	0.0743468
1.0	3.0	0.107123
1.0	4.0	0.157062
1.0	5.0	0.19875
1.0	6.0	0.219461
1.0	7.0	0.25126
1.0	8.0	0.354553
1.0	9.0	0.38648
1.0	10.0	0.445799
2.0	3.0	0.0502099
2.0	4.0	0.0757891
2.0	5.0	0.137264
2.0	6.0	0.191526
2.0	7.0	0.225842
2.0	8.0	0.325901
2.0	9.0	0.351778
2.0	10.0	0.434678
3.0	4.0	0.0334389
3.0	5.0	0.107804
3.0	6.0	0.156392
3.0	7.0	0.209815
3.0	8.0	0.312285
3.0	9.0	0.328189
3.0	10.0	0.41533
4.0	5.0	0.0546408
4.0	6.0	0.135166
4.0	7.0	0.189157
4.0	8.0	0.289932
4.0	9.0	0.310263
4.0	10.0	0.403329
5.0	6.0	0.0773827
5.0	7.0	0.149654
5.0	8.0	0.243839
5.0	9.0	0.280776
5.0	10.0	0.375117
6.0	7.0	0.0785056
6.0	8.0	0.159567
6.0	9.0	0.190025
6.0	10.0	0.284552
7.0	8.0	0.0496756
7.0	9.0	0.0905358
7.0	10.0	0.147372
8.0	9.0	0.0499929
8.0	10.0	0.136749
9.0	10.0	0.102557
