Region	Region	Fst

1.0	2.0	0.0288036
1.0	3.0	0.0778253
1.0	4.0	0.130434
1.0	5.0	0.164861
1.0	6.0	0.23781
1.0	7.0	0.287914
1.0	8.0	0.273046
1.0	9.0	0.268127
1.0	10.0	0.349289
2.0	3.0	0.0201227
2.0	4.0	0.0942568
2.0	5.0	0.135759
2.0	6.0	0.229628
2.0	7.0	0.299951
2.0	8.0	0.283136
2.0	9.0	0.265584
2.0	10.0	0.350818
3.0	4.0	0.0453306
3.0	5.0	0.0912701
3.0	6.0	0.190781
3.0	7.0	0.256182
3.0	8.0	0.249198
3.0	9.0	0.228293
3.0	10.0	0.315137
4.0	5.0	0.0399655
4.0	6.0	0.176708
4.0	7.0	0.232064
4.0	8.0	0.223174
4.0	9.0	0.186943
4.0	10.0	0.257426
5.0	6.0	0.116118
5.0	7.0	0.204548
5.0	8.0	0.224576
5.0	9.0	0.187011
5.0	10.0	0.271502
6.0	7.0	0.0744299
6.0	8.0	0.1203
6.0	9.0	0.124049
6.0	10.0	0.254322
7.0	8.0	0.0559735
7.0	9.0	0.107773
7.0	10.0	0.224345
8.0	9.0	0.0380172
8.0	10.0	0.13557
9.0	10.0	0.0667225
