Ind_ID	PosInd_X	PosInd_Y	PhenValue	Region
37	0.996198	18.5676	0.588582	1
71	0.474575	4.77968	0.509941	1
93	0.00251728	16.0112	0.496764	1
99	2.3151	22.3684	0.784249	1
124	1.22752	10.8441	1.24803	1
139	0.924341	12.1548	0.67786	1
146	2.11288	13.9275	1.24769	1
153	1.10515	11.534	0.674763	1
164	2.37219	6.96927	0.783184	1
173	1.43355	17.5758	0.844779	1
179	0.821485	20.2973	0.497468	1
186	1.37401	12.8636	0.727672	1
200	2.113	4.08579	0.562203	1
207	1.26188	17.6803	0.9885	1
210	0.153196	4.89221	0.552935	1
218	0.614796	9.85527	-0.0203187	1
236	0.250561	5.48651	0.410957	1
239	1.03532	14.2788	1.1699	1
242	2.20089	15.9671	0.698933	1
260	2.47943	22.5601	1.12879	1
262	2.10621	20.7549	0.652897	1
298	1.57572	15.0313	0.56768	1
306	0.0250798	15.206	0.607137	1
313	1.94578	4.34725	0.53649	1
318	0.514009	6.12022	0.528527	1
320	2.20984	9.34354	1.06504	1
326	1.49958	2.31782	0.314856	1
334	0.485931	18.0078	1.0203	1
354	1.60773	12.6444	0.813394	1
363	0.0125254	7.00941	0.659464	1
377	1.57675	24.041	0.659823	1
381	2.35054	24.6318	0.987183	1
398	0.856541	24.1443	0.910327	1
401	0.497617	14.0997	0.651024	1
407	2.26785	16.8914	0.335508	1
416	1.6808	21.0748	0.70715	1
428	2.02119	20.9749	1.10823	1
431	0.564042	18.8484	1.3076	1
440	1.43939	20.157	0.922116	1
454	0.927398	18.8453	0.461111	1
472	0.64128	20.542	0.994652	1
487	1.1948	17.127	0.643359	1
491	1.98794	23.4044	0.637296	1
503	2.25762	24.7568	1.02242	1
504	2.17766	24.3449	0.82846	1
512	1.66785	6.49088	0.885601	1
515	0.168028	3.4626	0.61846	1
536	2.44874	16.5408	0.62001	1
540	1.60822	19.8515	1.20124	1
552	2.38049	11.468	0.395052	1
554	1.63648	1.39868	0.805551	1
567	0.242628	18.5751	0.680015	1
610	0.543002	5.79111	0.414292	1
611	1.86984	13.6254	0.356924	1
612	0.841703	14.5656	1.18778	1
645	2.35731	9.79096	1.0394	1
648	1.52637	8.95036	0.60769	1
655	2.26491	23.849	0.670921	1
662	0.791458	22.6628	0.107101	1
674	2.24233	18.3912	0.88622	1
689	2.42654	21.0595	0.98067	1
701	0.0996642	9.61212	0.592139	1
705	0.493837	12.6865	0.74191	1
708	0.0209215	9.61332	1.25396	1
736	2.06661	14.3896	0.841086	1
758	2.06074	17.9134	1.43482	1
761	1.07581	1.18743	0.939591	1
765	1.51037	1.96112	0.56332	1
777	0.525015	3.68681	0.723144	1
802	1.11656	17.4503	0.7315	1
803	1.85849	1.11351	1.02346	1
813	2.38413	1.40207	1.11948	1
815	1.09307	3.46461	0.661942	1
829	0.781421	20.6205	0.683291	1
864	1.0055	7.28398	0.68369	1
892	0.127332	9.01517	0.584754	1
893	1.78565	4.60668	0.714798	1
913	0.82155	13.5774	1.08555	1
922	0.980706	14.3962	0.607656	1
928	1.93273	18.9044	0.805555	1
933	1.79566	19.4121	0.693245	1
935	0.0303652	11.8536	0.121284	1
937	1.81275	5.99727	0.835326	1
941	1.88271	9.01943	0.442349	1
956	0.277807	16.7812	0.740656	1
968	2.09396	16.2542	1.03342	1
970	0.798823	12.1865	1.07232	1
978	0.873396	16.119	0.640208	1
985	1.48266	5.51158	0.815594	1
990	1.16297	0.955477	0.672131	1
996	0.135988	0.211093	0.969093	1
998	0.267079	2.36008	0.547526	1
1007	0.00282153	23.9248	0.667764	1
1034	2.29657	1.20448	1.1095	1
1042	0.624277	21.2295	1.08857	1
1048	2.30356	0.0292992	0.815893	1
1071	2.35596	0.576915	1.03672	1
1075	0.541984	16.4133	0.66949	1
1080	0.421455	21.9244	0.633778	1
1085	0.142007	2.25071	0.657811	1
1088	1.0144	21.8029	0.617481	1
1090	0.264728	5.41567	0.706205	1
1092	1.36438	11.3098	0.153357	1
1096	1.00032	15.4854	1.19918	1
1119	0.145453	10.882	0.673805	1
1126	1.83598	7.93857	1.18755	1
1139	2.2619	6.77825	0.643999	1
1158	1.98346	5.93403	0.523592	1
1175	1.76829	10.5601	0.409247	1
1182	0.10639	20.0579	0.858696	1
1185	1.28611	16.3077	0.937408	1
1186	2.06904	0.499343	1.12735	1
1215	2.04669	4.23675	0.750588	1
1225	1.12679	0.878209	1.06065	1
1238	1.14469	23.0426	0.701241	1
1251	2.09827	17.6026	0.613532	1
1263	0.418676	17.9792	0.97658	1
1298	1.5577	7.24668	0.756939	1
1309	1.30253	9.54355	1.26169	1
1313	0.77335	12.4219	0.532182	1
1316	0.586677	24.2008	1.1618	1
1318	0.303996	4.67925	0.734645	1
1331	0.800786	24.8209	0.772424	1
1333	1.57345	23.7659	0.83866	1
1347	0.165357	10.6676	0.696619	1
1348	2.08565	2.23239	1.25774	1
1355	1.55074	23.7103	0.763453	1
1362	0.468201	22.3211	0.20405	1
1366	1.39869	6.77005	0.511775	1
1387	1.47528	19.6672	0.866341	1
1388	1.17476	13.7196	1.20594	1
1403	1.75699	0.0827774	0.718833	1
1413	1.35986	11.8479	1.04931	1
1441	2.01887	0.902602	0.849075	1
1455	1.98855	2.64733	0.767902	1
1461	1.94568	9.95837	1.04243	1
1477	2.35892	6.82203	0.684127	1
1488	0.457904	21.7273	0.333608	1
1508	0.799451	6.6415	0.855747	1
1521	1.67667	14.4159	0.643361	1
