IND_ID	Opt	Phen	AbsErr	Fitness	density
2757.0	0.427202	0.474049	0.0468468	0.858916	7.93947
2758.0	0.705346	0.775582	0.0702368	0.817682	9.82902
2759.0	0.924447	1.11289	0.188445	0.842749	8.62143
2760.0	0.704168	0.581178	0.12299	0.866159	7.61486
2761.0	0.17847	0.372205	0.193735	0.98071	3.35291
2762.0	0.995201	0.609193	0.386008	0.863317	7.59963
2763.0	0.855151	0.300498	0.554652	0.807481	9.99855
2764.0	0.277408	0.55166	0.274252	0.77235	12.0957
2765.0	0.0632362	0.302449	0.239213	0.874349	7.22748
2766.0	0.466091	0.531518	0.0654277	0.876319	7.19893
2767.0	0.498053	0.7708	0.272747	0.907377	5.89258
2768.0	0.501249	0.5374	0.0361515	0.754565	13.1917
2769.0	0.428931	0.284174	0.144757	0.800502	10.6653
2770.0	0.389813	0.496369	0.106556	0.874894	7.25103
2771.0	0.450282	0.88467	0.434388	0.78464	11.3009
2772.0	0.801006	1.41477	0.613768	0.887094	6.39067
2773.0	0.532863	0.266099	0.266764	0.731389	14.5073
2774.0	0.767194	0.667017	0.100176	0.802697	10.5661
2775.0	0.00608071	-0.0611056	0.0671864	0.780398	11.738
2776.0	0.66735	0.952051	0.284701	0.860709	7.78093
2777.0	0.590421	1.07484	0.48442	0.829066	9.03992
2778.0	0.648646	0.4701	0.178546	0.798545	10.753
2779.0	0.414618	0.502953	0.0883345	0.907622	5.94754
2780.0	0.851083	0.984183	0.1331	0.881046	6.99064
2781.0	0.98988	0.574429	0.415451	0.935844	4.74899
2782.0	0.901464	1.04502	0.143559	0.855554	8.06701
2783.0	0.226468	0.149786	0.0766823	0.819038	9.76231
2784.0	0.253859	0.550109	0.29625	0.91681	5.52304
2785.0	0.927493	0.570391	0.357102	0.932443	4.91265
2786.0	0.602389	1.14784	0.545455	0.896488	6.0973
2787.0	0.594908	0.61541	0.0205019	0.882893	6.93241
2788.0	0.0508845	0.135207	0.084323	0.828369	9.31564
2789.0	0.387744	0.489983	0.10224	0.884205	6.86901
2790.0	0.970513	0.809632	0.160881	0.87189	7.36187
2791.0	0.571874	0.3889	0.182974	0.7072	16.1295
2792.0	0.566353	0.950143	0.38379	0.87357	7.16928
2793.0	0.442407	0.417436	0.0249715	0.847276	8.45418
2794.0	0.481876	0.685929	0.204052	0.873552	7.27644
2795.0	0.832704	0.657486	0.175219	0.849092	8.34174
2796.0	0.454399	0.148913	0.305485	0.989071	3.03735
2797.0	0.726686	0.463927	0.262759	0.870827	7.36281
2798.0	0.186772	0.84762	0.660849	0.824151	9.05524
2799.0	0.710316	1.28168	0.571361	0.805444	10.079
2800.0	0.829819	0.883698	0.0538785	0.827931	9.34079
2801.0	0.841959	0.44559	0.396368	0.899092	6.13229
2802.0	0.825789	0.518446	0.307343	0.900974	6.11999
2803.0	0.0420521	-0.488144	0.530196	0.780716	11.4048
2804.0	0.0956382	0.222337	0.126699	0.872067	7.36436
2805.0	0.406241	0.820706	0.414465	0.810906	9.97812
2806.0	0.414312	0.406598	0.0077139	0.798392	10.7964
2807.0	0.865766	0.976209	0.110443	0.887239	6.74444
2808.0	0.834156	1.06206	0.227906	0.857667	7.94251
2809.0	0.947489	1.22836	0.280872	0.859744	7.82481
2810.0	0.0709752	0.906913	0.835938	0.804677	9.71092
2811.0	0.517378	0.569565	0.0521873	0.835939	8.96732
2812.0	0.423411	0.858521	0.43511	0.927752	5.02412
2813.0	0.576807	0.770042	0.193235	0.723713	15.0358
2814.0	0.453314	0.289789	0.163525	0.774646	12.0255
2815.0	0.129989	0.276451	0.146461	0.835635	8.96147
2816.0	0.735378	0.235922	0.499456	0.88818	6.47235
2817.0	0.0364523	0.0633127	0.0268604	0.888783	6.69368
2818.0	0.106071	-0.393772	0.499842	0.790678	10.9148
2819.0	0.0757228	0.334885	0.259162	0.91976	5.43277
