Region	Region	Fst

1.0	2.0	0.00462972
1.0	3.0	0.0164808
1.0	4.0	0.0306261
1.0	5.0	0.0360269
1.0	6.0	0.0540009
1.0	7.0	0.0641941
1.0	8.0	0.0755106
1.0	9.0	0.0721887
1.0	10.0	0.0773256
2.0	3.0	0.00525276
2.0	4.0	0.0179254
2.0	5.0	0.0205157
2.0	6.0	0.035769
2.0	7.0	0.0440941
2.0	8.0	0.0561503
2.0	9.0	0.0578769
2.0	10.0	0.0635315
3.0	4.0	0.00632712
3.0	5.0	0.0106743
3.0	6.0	0.0219392
3.0	7.0	0.0294602
3.0	8.0	0.0400907
3.0	9.0	0.0417249
3.0	10.0	0.0468434
4.0	5.0	0.00384941
4.0	6.0	0.013647
4.0	7.0	0.0231206
4.0	8.0	0.0306614
4.0	9.0	0.0314395
4.0	10.0	0.036272
5.0	6.0	0.00663091
5.0	7.0	0.0136696
5.0	8.0	0.0227485
5.0	9.0	0.0253118
5.0	10.0	0.0317368
6.0	7.0	0.00331988
6.0	8.0	0.011215
6.0	9.0	0.0195101
6.0	10.0	0.0242529
7.0	8.0	0.0034373
7.0	9.0	0.0133319
7.0	10.0	0.0212581
8.0	9.0	0.00657917
8.0	10.0	0.0125943
9.0	10.0	0.0037881
